action,close,open,high,low,volume,price,time,sma_5,sma_10,sma_20,sma_50,ema_5,ema_9,ema_12,ema_21,ema_26,rsi_7,rsi_14,rsi_21,roc_5,roc_10,roc_14,bb_20,20,2.0,atr_7,atr_14,atr_21,vwap,vwma_5,vwma_10,vwma_20,volume_avg_5,volume_avg_10,volume_avg_20,mfi_14,macd_12_26_9,12,26,stoch_14_3_3,14,cci_14,adx_14,typical_price
hold,255.2100067138672,255.0399932861328,255.77000427246094,254.9499969482422,1213211,255.2100067138672,2025-10-01 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.2100067138672,255.2100067138672,255.2100067138672,255.2100067138672,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.31000264485678
hold,256.05999755859375,255.1699981689453,256.30999755859375,255.0500030517578,365479,256.05999755859375,2025-10-01 13:31:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.406786198085,255.406786198085,255.406786198085,255.406786198085,0.0,0.0,0.0,99.99999893038937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.8066660563151
hold,255.94000244140625,256.05999755859375,256.5599060058594,255.8300018310547,301178,255.94000244140625,2025-10-01 13:32:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.49221400563906,255.49221400563906,255.49221400563906,255.49221400563906,0.0,0.0,0.0,99.9999994139251,0.0,0.0,0.0,61.49449799539367,20.498165998464557,0.0,0.0,256.10997009277344
hold,256.2950134277344,255.9149932861328,256.5,255.85499572753906,176949,256.2950134277344,2025-10-01 13:33:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.561279243305,255.561279243305,255.561279243305,255.561279243305,0.0,0.0,0.0,99.99999953695973,0.0,0.0,0.0,82.45631764575101,47.983605213714895,0.0,0.0,256.2166697184245
hold,256.5174865722656,256.2950134277344,256.79998779296875,256.2950134277344,216541,256.5174865722656,2025-10-01 13:34:00+00:00,256.00450134277344,0.0,0.0,0.0,256.00450134277344,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.6523595268417,255.6523595268417,255.6523595268417,255.6523595268417,454671.6,0.0,0.0,99.99999963169599,0.0,0.0,0.0,70.87574132045494,71.60885232053322,0.0,0.0,256.53749593098956
hold,257.4231872558594,256.489990234375,257.4287109375,256.4100036621094,401003,257.4231872558594,2025-10-01 13:35:00+00:00,256.4471374511719,0.0,0.0,0.0,256.47739664713544,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.8671997507031651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.91788360224487,256.50564257813755,255.91788360224487,255.91788360224487,292230.0,0.0,0.0,99.999999733054,0.0,0.0,0.0,99.64900373297135,84.32702089972577,0.0,0.0,257.08730061848956
hold,258.42498779296875,257.42999267578125,258.5221862792969,257.3999938964844,595172,258.42498779296875,2025-10-01 13:36:00+00:00,256.9201354980469,0.0,0.0,0.0,257.1265936957466,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.923607848521448,0.0,0.0,0.0,0.0,0.0,0.8715406145368304,0.0,0.0,256.37426627689644,257.27757375465677,256.37426627689644,256.37426627689644,338168.6,0.0,0.0,99.99999981068883,0.0,0.0,0.0,95.6357906275692,88.72017856033182,0.0,0.0,258.11572265625
hold,258.5299987792969,258.41668701171875,258.7900085449219,258.239990234375,439154,258.5299987792969,2025-10-01 13:37:00+00:00,257.438134765625,0.0,0.0,0.0,257.59439539026334,0.0,0.0,0.0,0.0,96.62933388196667,50.0,50.0,1.0119544866705887,0.0,0.0,0.0,0.0,0.0,0.8256088568239797,0.0,0.0,256.6295314290538,257.7985955245821,256.6295314290538,256.6295314290538,365763.8,0.0,0.0,99.99999984417875,0.0,0.0,0.0,89.07524234497615,94.7866789018389,0.0,0.0,258.51999918619794
hold,258.43499755859375,258.5299987792969,258.7699890136719,258.4100036621094,295172,258.43499755859375,2025-10-01 13:38:00+00:00,257.8661315917969,0.0,0.0,0.0,257.8745961130402,256.9817420111762,0.0,0.0,0.0,93.7117575985989,50.0,50.0,0.8349690859134763,0.0,0.0,0.0,0.0,0.0,0.7590912132151969,0.0,0.0,256.76263378065727,258.03172116318586,256.76263378065727,256.76263378065727,389408.4,0.0,0.0,99.99999986073863,0.0,0.0,0.0,74.45991042416792,86.39031446557108,0.0,0.0,258.538330078125
hold,258.04998779296875,258.44500732421875,258.635009765625,257.8999938964844,269885,258.04998779296875,2025-10-01 13:39:00+00:00,258.1726318359375,257.0885665893555,0.0,0.0,257.9330600063497,257.19539116753475,0.0,0.0,0.0,82.00485161432172,50.0,50.0,0.5974256340888447,0.0,0.0,0.0,0.0,0.0,0.755651878347401,0.0,0.0,256.8439296040881,258.198100932856,256.8439296040881,256.8439296040881,400077.2,427374.4,0.0,91.15425934911116,0.0,0.0,0.0,16.852969414346454,60.12937406116351,0.0,0.0,258.1949971516927
hold,258.0899963378906,258.0400085449219,258.44000244140625,258.010009765625,185042,258.0899963378906,2025-10-01 13:40:00+00:00,258.3059936523438,257.37656555175784,0.0,0.0,257.98537211686335,257.37431220160596,0.0,0.0,0.0,82.27332615161261,50.0,50.0,0.2590322531312969,1.1284783308878574,0.0,0.0,0.0,0.0,0.7091291351236652,0.0,0.0,256.89564203894287,258.36103230781157,257.5257403476772,256.89564203894287,356885.0,324557.5,0.0,85.94222646398931,0.0,0.0,0.0,21.839483653711238,37.71745449740853,0.0,0.0,258.1800028483073
hold,257.79998779296875,258.0799865722656,258.0799865722656,257.6708984375,199437,257.79998779296875,2025-10-01 13:41:00+00:00,258.1809936523438,257.5505645751953,0.0,0.0,257.92357734223185,257.45944731987856,257.2313041687012,0.0,0.0,73.05593531451179,50.0,50.0,-0.24184967767153553,0.6795244282453143,0.0,0.0,0.0,0.0,0.6676961015903737,0.0,0.0,256.9343606670862,258.25304740915266,257.71745555142985,256.9343606670862,277738.0,307953.3,0.0,80.95937684290979,0.0,0.0,0.0,13.389465687515827,17.36063958519117,0.0,0.0,257.8502909342448
hold,258.125,257.80999755859375,258.1481018066406,257.6202087402344,124544,258.125,2025-10-01 13:42:00+00:00,258.09999389648436,257.76906433105466,0.0,0.0,257.9907182281546,257.5925578559029,257.36879583505487,0.0,0.0,76.49848678484692,50.0,50.0,-0.15665446223229834,0.853714752579161,0.0,0.0,0.0,0.0,0.6477242394212132,0.0,0.0,256.9653651013558,258.12496399029203,257.9193526854925,256.9653651013558,214816.0,290289.9,0.0,81.62496952366914,0.0,0.0,0.0,61.57540110933254,32.2681168168532,0.0,0.0,257.9644368489583
hold,257.573486328125,258.1600036621094,258.2300109863281,257.4901123046875,160581,257.573486328125,2025-10-01 13:43:00+00:00,257.9276916503906,257.89691162109375,0.0,0.0,257.8516409281448,257.5887435503473,257.4002866801426,0.0,0.0,61.05509637315674,50.0,50.0,-0.33335702927519467,0.49882862849811416,0.0,0.0,0.0,0.0,0.6608920168811291,0.7044775826590401,0.0,256.98511946918825,257.9332958995627,257.99968635999267,256.98511946918825,187897.8,288653.1,0.0,78.10731049558576,0.0,0.0,0.0,11.268302742833574,28.744389846560647,32.227543444856195,0.0,257.76453653971356
hold,257.6700134277344,257.6000061035156,257.67999267578125,257.3599853515625,92281,257.6700134277344,2025-10-01 13:44:00+00:00,257.85169677734376,258.0121643066406,0.0,0.0,257.791098428008,257.60499752582473,257.441783102849,0.0,0.0,62.59692763571957,73.02056470843578,50.0,-0.14724835621353533,0.44929757844951523,0.96391467777565,0.0,0.0,0.0,0.6121942036436464,0.6770154213418766,0.0,256.9976705724146,257.86007046339495,258.10486593012627,256.9976705724146,152377.0,276227.1,0.0,76.22107455393888,0.0,0.0,0.0,35.634361078957525,36.15935497704121,9.154110301994422,47.88592564450864,257.5699971516927
hold,257.04168701171875,257.6499938964844,257.6791076660156,256.93499755859375,226575,257.04168701171875,2025-10-01 13:45:00+00:00,257.64203491210935,257.97401428222656,0.0,0.0,257.5412946225783,257.49233542300357,257.38022985805975,0.0,0.0,48.12721782328759,64.81253891160785,50.0,-0.4061797594043248,-0.1481996428555763,0.3833825909884115,0.0,0.0,0.0,0.6310393327548219,0.6818078989190194,0.0,256.99956579060364,257.57631882448226,258.1174112931869,256.99956579060364,160683.6,258784.3,0.0,69.19786883320093,0.0,0.0,0.0,8.238482384823849,18.38038206887165,-34.53943906875765,25.91997760374842,257.2185974121094
hold,256.67999267578125,257.0400085449219,257.0599060058594,256.6600036621094,138645,256.67999267578125,2025-10-01 13:46:00+00:00,257.41803588867185,257.7995147705078,0.0,0.0,257.25419397364595,257.3298668735591,257.2725010607861,0.0,0.0,41.65984841678536,60.590346379529514,50.0,-0.43444343297911003,-0.6752424106083205,0.28912644655632136,0.0,0.0,0.0,0.5980197628969902,0.6616717878355179,0.0,256.99136204069237,257.34891094089795,257.9380142329957,256.99136204069237,148525.2,213131.6,0.0,63.86494681323855,0.0,0.0,0.0,1.9597283307901745,15.27752393152385,-89.34439280901523,13.16866702304498,256.7999674479167
