action,close,open,high,low,volume,price,time,macd_line,macd_signal,macd_histogram,rsi_14,vwap
hold,144.30999755859375,145.11000061035156,145.4326934814453,143.86000061035156,200942,144.30999755859375,2026-04-09 13:30:00+00:00,0.0,0.0,0.0,50.0,144.30999755859375
hold,144.16819763183594,144.30999755859375,144.77000427246094,143.95660400390625,10373,144.16819763183594,2026-04-09 13:31:00+00:00,0.0,0.0,0.0,50.0,144.30303690440329
hold,143.34500122070312,144.48460388183594,144.48460388183594,143.14999389648438,10707,143.34500122070312,2026-04-09 13:32:00+00:00,0.0,0.0,0.0,50.0,144.25683568080663
hold,143.01170349121094,143.0,143.44000244140625,142.8300018310547,12233,143.01170349121094,2026-04-09 13:33:00+00:00,0.0,0.0,0.0,50.0,144.19181379407922
hold,142.9788055419922,143.0,143.0800018310547,142.72999572753906,12774,142.9788055419922,2026-04-09 13:34:00+00:00,0.0,0.0,0.0,50.0,144.1290884970001
hold,143.2100067138672,142.77000427246094,143.2100067138672,142.67999267578125,13508,143.2100067138672,2026-04-09 13:35:00+00:00,0.0,0.0,0.0,50.0,144.081437081936
hold,143.88499450683594,143.17999267578125,143.88499450683594,143.1199951171875,15991,143.88499450683594,2026-04-09 13:36:00+00:00,0.0,0.0,0.0,50.0,144.07007724416758
hold,143.55999755859375,143.91000366210938,144.09500122070312,143.5200958251953,6645,143.55999755859375,2026-04-09 13:37:00+00:00,0.0,0.0,0.0,50.0,144.05810760189718
hold,143.68499755859375,143.72000122070312,143.97000122070312,143.5500030517578,14868,143.68499755859375,2026-04-09 13:38:00+00:00,0.0,0.0,0.0,50.0,144.03949472607192
hold,143.22000122070312,143.69500732421875,143.82000732421875,143.02999877929688,22171,143.22000122070312,2026-04-09 13:39:00+00:00,0.0,0.0,0.0,50.0,143.98275422132028
hold,143.27999877929688,143.24354553222656,143.4199981689453,142.96499633789062,17018,143.27999877929688,2026-04-09 13:40:00+00:00,0.0,0.0,0.0,50.0,143.94729031801288
hold,143.67999267578125,143.35000610351562,143.80999755859375,143.2200927734375,12493,143.67999267578125,2026-04-09 13:41:00+00:00,0.0,0.0,0.0,50.0,143.93774176260072
hold,143.86000061035156,143.6699981689453,143.86000061035156,143.57000732421875,12256,143.86000061035156,2026-04-09 13:42:00+00:00,0.0,0.0,0.0,50.0,143.93510957796582
hold,144.17999267578125,144.0800018310547,144.4199981689453,144.0800018310547,8404,144.17999267578125,2026-04-09 13:43:00+00:00,0.0,0.0,0.0,50.0,143.94066598188834
hold,144.02000427246094,144.16000366210938,144.16000366210938,144.0,6557,144.02000427246094,2026-04-09 13:44:00+00:00,0.0,0.0,0.0,46.60616515412886,143.94204609854162
hold,144.1199951171875,144.00999450683594,144.1199951171875,143.69000244140625,147429,144.1199951171875,2026-04-09 13:45:00+00:00,0.0,0.0,0.0,47.918843428820104,143.992077366351
hold,144.1981964111328,144.02000427246094,144.1999969482422,143.9199981689453,12637,144.1981964111328,2026-04-09 13:46:00+00:00,0.0,0.0,0.0,48.975381938951685,143.99692782680938
hold,143.9250030517578,144.14999389648438,144.14999389648438,143.82000732421875,8533,143.9250030517578,2026-04-09 13:47:00+00:00,0.0,0.0,0.0,45.50256810739631,143.9958028218042
hold,144.02999877929688,143.92999267578125,144.1479949951172,143.77000427246094,12576,144.02999877929688,2026-04-09 13:48:00+00:00,0.0,0.0,0.0,47.056397499158244,143.99657335898996
hold,143.66000366210938,144.0399932861328,144.16000366210938,143.66000366210938,48195,143.66000366210938,2026-04-09 13:49:00+00:00,0.0,0.0,0.0,42.46192150307931,143.96981975680436
hold,143.5800018310547,143.60000610351562,143.75,143.36000061035156,15199,143.5800018310547,2026-04-09 13:50:00+00:00,0.0,0.0,0.0,41.51798624234784,143.96028676105777
hold,142.6999969482422,143.55499267578125,143.7100067138672,142.6999969482422,19984,142.6999969482422,2026-04-09 13:51:00+00:00,0.0,0.0,0.0,32.86373775431855,143.92102580011306
hold,142.48500061035156,142.66000366210938,142.6999969482422,142.36000061035156,12487,142.48500061035156,2026-04-09 13:52:00+00:00,0.0,0.0,0.0,31.155089200972157,143.89360654181073
