action,close,open,high,low,volume,price,time,sma_5,sma_10,sma_20,sma_50,ema_5,ema_9,ema_12,ema_21,ema_26,rsi_7,rsi_14,rsi_21,roc_5,roc_10,roc_14,bb_20,20,2.0,atr_7,atr_14,atr_21,vwap,vwma_5,vwma_10,vwma_20,volume_avg_5,volume_avg_10,volume_avg_20,mfi_14,macd_12_26_9,12,26,stoch_14_3_3,14,cci_14,adx_14,typical_price
hold,244.8000030517578,244.49000549316406,244.89999389648438,244.02999877929688,822254,244.8000030517578,2025-10-03 13:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.8000030517578,244.8000030517578,244.8000030517578,244.8000030517578,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.57666524251303
hold,245.3699951171875,244.8300018310547,245.42909240722656,244.64500427246094,165225,245.3699951171875,2025-10-03 13:31:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.89537413206494,244.89537413206494,244.89537413206494,244.89537413206494,0.0,0.0,0.0,99.99999753114366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.14803059895834
hold,244.2100067138672,245.3699951171875,245.3699951171875,244.1300048828125,119235,244.2100067138672,2025-10-03 13:32:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.8215341118711,244.8215341118711,244.8215341118711,244.8215341118711,0.0,0.0,0.0,58.14120047423242,0.0,0.0,0.0,12.86603919686774,4.288679732289247,0.0,0.0,244.57000223795572
hold,243.57000732421875,244.16000366210938,244.4199981689453,243.55999755859375,151685,243.57000732421875,2025-10-03 13:33:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.67067747515648,244.67067747515648,244.67067747515648,244.67067747515648,0.0,0.0,0.0,37.977458816818945,0.0,0.0,0.0,0.5355408064134277,4.467193334427056,0.0,0.0,243.8500010172526
hold,243.49000549316406,243.59500122070312,243.8800048828125,243.4600067138672,189091,243.49000549316406,2025-10-03 13:34:00+00:00,244.28800354003906,0.0,0.0,0.0,244.28800354003906,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.51644190479198,244.51644190479198,244.51644190479198,244.51644190479198,289498.0,0.0,0.0,26.52234087149867,0.0,0.0,0.0,1.5706262532654807,4.990735418848883,0.0,0.0,243.6100056966146
hold,243.6750030517578,243.4499969482422,243.72000122070312,243.43499755859375,55907,243.6750030517578,2025-10-03 13:35:00+00:00,244.06300354003906,0.0,0.0,0.0,244.08367004394532,0.0,0.0,0.0,0.0,50.0,50.0,50.0,-0.4595588178003995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.48515121979221,244.105072178767,244.48515121979221,244.48515121979221,136228.6,0.0,0.0,24.35073476268866,0.0,0.0,0.0,24.366024816817188,8.824063958832033,0.0,0.0,243.61000061035156
hold,243.0601043701172,243.39999389648438,243.42999267578125,242.8166046142578,388410,243.0601043701172,2025-10-03 13:36:00+00:00,243.601025390625,0.0,0.0,0.0,243.74248148600262,0.0,0.0,0.0,0.0,50.0,50.0,50.0,-0.9413908762426799,0.0,0.0,0.0,0.0,0.0,0.7596391950334821,0.0,0.0,244.1925725123013,243.42514980651026,244.1925725123013,244.1925725123013,180865.6,0.0,0.0,15.533186959158826,0.0,0.0,0.0,22.898222152071288,16.27829107405132,0.0,0.0,243.10223388671875
hold,242.8112030029297,243.1300048828125,243.25,242.63999938964844,175359,242.8112030029297,2025-10-03 13:37:00+00:00,243.3212646484375,0.0,0.0,0.0,243.4320553249783,0.0,0.0,0.0,0.0,21.578658153652924,50.0,50.0,-0.572787221031623,0.0,0.0,0.0,0.0,0.0,0.7382622543646364,0.0,0.0,244.07539006261226,243.21561980305586,244.07539006261226,244.07539006261226,192090.4,0.0,0.0,13.352146246653433,0.0,0.0,0.0,15.852159538846267,21.038802169244914,0.0,0.0,242.90040079752603
hold,242.6699981689453,242.79660034179688,242.95199584960938,242.58999633789062,166770,242.6699981689453,2025-10-03 13:38:00+00:00,243.14126281738282,0.0,0.0,0.0,243.17803627296732,243.73959181043836,0.0,0.0,0.0,20.608321520748262,50.0,50.0,-0.369507381126538,0.0,0.0,0.0,0.0,0.0,0.6845104339866526,0.0,0.0,243.97047335680384,243.0672414318939,243.97047335680384,243.97047335680384,195107.4,0.0,0.0,11.780147679633828,0.0,0.0,0.0,9.524069028156221,16.091483573024593,0.0,0.0,242.7373301188151
hold,242.60000610351562,242.6699981689453,242.74000549316406,242.38999938964844,195885,242.60000610351562,2025-10-03 13:39:00+00:00,242.96326293945313,243.6256332397461,0.0,0.0,242.98535954981676,243.51167466905383,0.0,0.0,0.0,20.08600050946727,50.0,50.0,-0.3655178321778895,0.0,0.0,0.0,0.0,0.0,0.6367241010622201,0.0,0.0,243.85999033031325,242.89269204741046,243.85999033031325,243.85999033031325,196466.2,242982.1,0.0,10.34983727225574,0.0,0.0,0.0,24.4193680026969,16.598532189899796,0.0,0.0,242.57667032877603
